date,day,action,price,reason
09.01.2026,0,🟢 ПОКУПАТЬ,$14.19,Прогнозируется рост до $15.84 (+11.6%)
14.01.2026,5,🔴 ФИНАЛЬНАЯ ПРОДАЖА,$15.84,Закрытие позиции (+11.6%)
