day,date,action,shares,price,operation_profit,reason
2,2026-01-11,КУПИТЬ,4,44.92361490248682,2.0339650910287617,Локальный минимум $44.92 - покупка для роста до $45.43
3,2026-01-12,ПРОДАТЬ,4,45.43210617524401,2.0339650910287617,Локальный максимум $45.43 - фиксация прибыли (купили по $44.92)
9,2026-01-18,КУПИТЬ,5,37.82443114755536,12.668330322612036,Локальный минимум $37.82 - покупка для роста до $40.36
12,2026-01-21,ПРОДАТЬ,5,40.358097212077766,12.668330322612036,Локальный максимум $40.36 - фиксация прибыли (купили по $37.82)
