day,date,action,shares,price,operation_profit,reason
11,2026-01-20,КУПИТЬ,2.1813391627853753,458.4339826930395,109.84519474199874,Локальный минимум $458.43 - покупка для роста до $508.79
15,2026-01-24,ПРОДАТЬ,2.1813391627853753,508.7907527983065,109.84519474199874,Локальный максимум $508.79 - фиксация прибыли (купили по $458.43)
17,2026-01-26,КУПИТЬ,2.276553277787687,487.51118876538044,264.58913867182434,Локальный минимум $487.51 - покупка для роста до $603.73
24,2026-02-02,ПРОДАТЬ,2.276553277787687,603.7347541233356,264.58913867182434,Локальный максимум $603.73 - фиксация прибыли (купили по $487.51)
28,2026-02-06,КУПИТЬ,2.494680072298666,550.9461307988009,37.074372522120214,Локальный минимум $550.95 - покупка для роста до $565.81
29,2026-02-07,ПРОДАТЬ,2.494680072298666,565.8075043808486,37.074372522120214,Локальный максимум $565.81 - фиксация прибыли (купили по $550.95)
