day,date,action,shares,price,operation_profit,reason
17,2026-01-26,КУПИТЬ,4.6813670500700795,213.61281636419218,272.257582743282,Локальный минимум $213.61 - покупка для роста до $271.77
24,2026-02-02,ПРОДАТЬ,4.6813670500700795,271.77052539049174,272.257582743282,Локальный максимум $271.77 - фиксация прибыли (купили по $213.61)
26,2026-02-04,КУПИТЬ,4.916124379703301,258.7927978380534,358.57016320503345,Локальный минимум $258.79 - покупка для роста до $331.73
30,2026-02-08,ПРОДАТЬ (финальная),4.916124379703301,331.7303672546095,358.5701632050334,Закрытие позиции в конце прогнозного периода
