day,date,action,shares,price,operation_profit,reason
12,2026-01-21,КУПИТЬ,1,131.64374464358352,9.266149985962869,Локальный минимум $131.64 - покупка для роста до $140.91
14,2026-01-23,ПРОДАТЬ,1,140.9098946295464,9.266149985962869,Локальный максимум $140.91 - фиксация прибыли (купили по $131.64)
16,2026-01-25,КУПИТЬ,1,130.28184888923505,5.55608345105847,Локальный минимум $130.28 - покупка для роста до $135.84
17,2026-01-26,ПРОДАТЬ,1,135.83793234029352,5.55608345105847,Локальный максимум $135.84 - фиксация прибыли (купили по $130.28)
21,2026-01-30,КУПИТЬ,1,126.84812599158539,3.3180054714273695,Локальный минимум $126.85 - покупка для роста до $130.17
23,2026-02-01,ПРОДАТЬ,1,130.16613146301276,3.3180054714273695,Локальный максимум $130.17 - фиксация прибыли (купили по $126.85)
