date,day,action,price,shares,expected_profit,reason
09.01.2026,0,📉 КОРОТКАЯ ПРОДАЖА,478.42999267578125,2.090169962813498,266.4506092605521,Прогнозируется падение до $350.95 (-26.6%)
19.01.2026,10,📈 ПОКРЫТЬ КОРОТКУЮ,$350.95,,,Прибыль от короткой продажи: $266.45
