day,date,action,shares,price,operation_profit,reason
3,2026-01-12,КУПИТЬ,4,109.03599921504669,346.4575311574012,Локальный минимум $109.04 - покупка для роста до $195.65
17,2026-01-26,ПРОДАТЬ,4,195.650382004397,346.4575311574012,Локальный максимум $195.65 - фиксация прибыли (купили по $109.04)
19,2026-01-28,КУПИТЬ,4,182.823011004269,39.52567170500333,Локальный минимум $182.82 - покупка для роста до $192.70
22,2026-01-31,ПРОДАТЬ,4,192.70442893051984,39.52567170500333,Локальный максимум $192.70 - фиксация прибыли (купили по $182.82)
26,2026-02-04,КУПИТЬ,4,177.40486222794036,83.9109412746111,Локальный минимум $177.40 - покупка для роста до $198.38
30,2026-02-08,ПРОДАТЬ (финальная),4,198.38259754659313,83.9109412746111,Закрытие позиции в конце прогнозного периода
