date,day,action,price,reason
09.01.2026,0,🟢 ПОКУПАТЬ,$185.38,Прогнозируется рост до $192.49 (+3.8%)
13.01.2026,4,🔴 ПРОДАВАТЬ,$203.19,Фиксация прибыли (+9.6%)
