day,date,action,shares,price,operation_profit,reason
16,2026-01-25,КУПИТЬ,7.279020870541092,137.3811145462019,696.5404139578287,Локальный минимум $137.38 - покупка для роста до $233.07
20,2026-01-29,ПРОДАТЬ,7.279020870541092,233.07261294220126,696.5404139578287,Локальный максимум $233.07 - фиксация прибыли (купили по $137.38)
21,2026-01-30,КУПИТЬ,7.513788889679859,225.7902689131999,199.54626483765324,Локальный минимум $225.79 - покупка для роста до $252.35
25,2026-02-03,ПРОДАТЬ (финальная),7.513788889679859,252.34761138947425,199.54626483765333,Закрытие позиции в конце прогнозного периода
