date,day,action,price,shares,expected_profit,reason
09.01.2026,0,🟢 ПОКУПАТЬ,246.81,0.8103,35.78,Прогнозируется рост до $290.97 (+17.9%)
14.01.2026,5,🔴 ФИНАЛЬНАЯ ПРОДАЖА,290.97,0.8103,35.78,Закрытие позиции (+17.9%)
