day,date,action,shares,price,operation_profit,reason
4,2026-01-13,КУПИТЬ,0.4326630220117683,462.25350867761483,3.7868827334658017,Локальный минимум $462.25 - покупка для роста до $471.01
5,2026-01-14,ПРОДАТЬ,0.4326630220117683,471.00600783009105,3.7868827334658017,Локальный максимум $471.01 - фиксация прибыли (купили по $462.25)
7,2026-01-16,КУПИТЬ,0.4356219585527921,467.80672721476066,17.44925443999273,Локальный минимум $467.81 - покупка для роста до $507.86
8,2026-01-17,ПРОДАТЬ,0.4356219585527921,507.8626842146374,17.44925443999273,Локальный максимум $507.86 - фиксация прибыли (купили по $467.81)
10,2026-01-19,КУПИТЬ,0.4947556808690404,447.16239899430025,27.266188716195092,Локальный минимум $447.16 - покупка для роста до $502.27
15,2026-01-24,ПРОДАТЬ,0.4947556808690404,502.27280958787225,27.266188716195092,Локальный максимум $502.27 - фиксация прибыли (купили по $447.16)
19,2026-01-28,КУПИТЬ,0.5300839952476283,468.79801713984216,57.787449142313456,Локальный минимум $468.80 - покупка для роста до $577.81
24,2026-02-02,ПРОДАТЬ,0.5300839952476283,577.813663075951,57.787449142313456,Локальный максимум $577.81 - фиксация прибыли (купили по $468.80)
