day,date,action,shares,price,operation_profit,reason
6,2026-01-15,КУПИТЬ,2.662002950281256,375.65698411203647,-117.59224920050704,Локальный минимум $375.66 - покупка для роста до $331.48
24,2026-02-02,ПРОДАТЬ,2.662002950281256,331.48263442242296,-117.59224920050704,Локальный максимум $331.48 - фиксация прибыли (купили по $375.66)
26,2026-02-04,КУПИТЬ,2.714671071449445,325.05144364630104,94.38135554335005,Локальный минимум $325.05 - покупка для роста до $359.82
28,2026-02-06,ПРОДАТЬ,2.714671071449445,359.81858598482273,94.38135554335005,Локальный максимум $359.82 - фиксация прибыли (купили по $325.05)
29,2026-02-07,КУПИТЬ,2.8758331003593307,339.6543096401508,19.463081833831406,Локальный минимум $339.65 - покупка для роста до $346.42
30,2026-02-08,ПРОДАТЬ (финальная),2.8758331003593307,346.4221160999205,19.463081833831325,Закрытие позиции в конце прогнозного периода
