day,date,action,shares,price,operation_profit,reason
10,2026-01-19,КУПИТЬ,5,35.83028272838973,0.0,Локальный минимум $35.83 - покупка для роста до $35.83
10,2026-01-19,ПРОДАТЬ (финальная),5,35.83028272838973,0.0,Закрытие позиции в конце прогнозного периода
